# SPDX-FileCopyrightText: © 2024–2026, Peter J. Mello <admin@petermello.net>
#
# SPDX-License-Identifier: MIT
Manufacturer,System,Core { data-sort-default },Link { data-sort-method="none" }
Nintendo,Game&nbsp;Boy&thinsp;/&thinsp;Color,[SameBoy](sameboy.md),[BIOS information](sameboy.md#bios)
Nintendo,Game&nbsp;Boy&nbsp;Advance,[Beetle GBA](beetle_gba.md),[BIOS information](beetle_gba.md#bios)
Nintendo,Game&nbsp;Boy&nbsp;Advance,[gpSP](gpsp.md),[BIOS information](gpsp.md#bios)
Nintendo,Game&nbsp;Boy&nbsp;Advance,[mGBA](mgba.md),[BIOS information](mgba.md#bios)
Nintendo,Game&nbsp;Boy&nbsp;Advance,[VBA Next](vba_next.md),[BIOS information](vba_next.md#bios)
Nintendo,GameCube&thinsp;/&thinsp;Wii,[Dolphin](dolphin.md),[BIOS information](dolphin.md#bios)
Mattel,Intellivision,[FreeIntv](freeintv.md),[BIOS information](freeintv.md#bios)
Atari,Lynx,[Beetle&nbsp;Lynx](beetle_lynx.md),[BIOS information](beetle_lynx.md#bios)
Atari,Lynx,[Handy](handy.md),[BIOS information](handy.md#bios)
Atari,Lynx,[Holani](holani.md),[BIOS information](holani.md#bios)
Sega,Master&nbsp;System,[Emux&nbsp;SMS](emux_sms.md),[BIOS information](emux_sms.md#bios)
Sega,Master&nbsplSystem&thinsp;/&thinsp;Game&nbsp;Gear,[SMS Plus GX](smsplus.md),[BIOS information](smsplus.md#bios)
Sega,Master&nbsp;System&thinsp;/&thinsp;Game&nbsp;Gear&thinsp;/&thinsp;Mega&nbsp;Drive&thinsp;/&thinsp;CD,[Genesis Plus GX](genesis_plus_gx.md),[BIOS information](genesis_plus_gx.md#bios)
Sega,Master&nbsp;System&thinsp;/&thinsp;Game&nbsp;Gear&thinsp;/&thinsp;SG&#8209;1000,[Gearsystem](gearsystem.md),[BIOS information](gearsystem.md#bios)
Sega,Master&nbsp;System&thinsp;/&thinsp;Mega&nbsp;Drive&thinsp;/&thinsp;CD&thinsp;/&thinsp;32X,[PicoDrive](picodrive.md),[BIOS information](picodrive.md#bios)
Various,MSX&thinsp;/&thinsp;SVI&thinsp;/&thinsp;ColecoVision&thinsp;/&thinsp;SG&#8209;1000,[blueMSX](bluemsx.md),[BIOS information](bluemsx.md#bios)
Microsoft,MSX,[fMSX](fmsx.md),[BIOS information](fmsx.md#bios)
Nintendo,NES&thinsp;/&thinsp;Famicom,[FCEUmm](fceumm.md),[BIOS information](fceumm.md#bios)
Nintendo,NES&thinsp;/&thinsp;Famicom,[Nestopia](nestopia.md),[BIOS information](nestopia.md#bios)
Nintendo,NES&thinsp;/&thinsp;Famicom,[Mesen](mesen.md),[BIOS information](mesen.md#bios)
Philips&nbsp;Magnavox,Odyssey&nbsp;2&thinsp;/&thinsp;Videopac+,[O2EM](o2em.md),[BIOS information](o2em.md#bios)
NEC,PC&#8209;98,[Neko&nbsp;Project II&nbsp;Kai](neko_project_ii_kai.md),[BIOS information](neko_project_ii_kai.md#bios)
NEC,PC&nbsp;Engine&thinsp;/&thinsp;CD,[Beetle PCE FAST](beetle_pce_fast.md),[BIOS information](beetle_pce_fast.md#bios)
NEC,PCE&nbsp;SuperGrafx,[Beetle SGX](beetle_sgx.md),[BIOS information](beetle_sgx.md#bios)
NEC,PC&#8209;FX,[Beetle PC&#8209;FX](beetle_pc_fx.md),[BIOS information](beetle_pc_fx.md#bios)
Sony,PlayStation,[Beetle&nbsp;PSX](beetle_psx.md),[BIOS information](beetle_psx.md#bios)
Sony,PlayStation,[Beetle&nbsp;PSX&nbsp;HW](beetle_psx_hw.md),[BIOS information](beetle_psx_hw.md#bios)
Sony,PlayStation,[PCSX&nbsp;ReARMed](pcsx_rearmed.md),[BIOS information](pcsx_rearmed.md#bios)
Nintendo,Pokémon&nbsp;Mini,[PokeMini](pokemini.md),[BIOS information](pokemini.md#bios)
Sony,PSP,[PPSSPP](ppsspp.md),[BIOS information](ppsspp.md#bios)
―,RPG&nbsp;Maker&nbsp;2000&thinsp;/&thinsp;2003,[EasyRPG](easyrpg.md),[BIOS information](easyrpg.md#rtp-files)
―,RPG&nbsp;Maker&nbsp;XP&thinsp;/&thinsp;VX&thinsp;/&thinsp;VX&nbsp;Ace,[mkxp-z](mkxp-z.md),[BIOS information](mkxp-z.md#bios)
Sony,Saturn,[Beetle&nbsp;Saturn](beetle_saturn.md),[BIOS information](beetle_saturn.md#bios)
Sega,Saturn,[Kronos](kronos.md),[BIOS information](kronos.md#bios)
Sega,Saturn,[Yabause](yabause.md),[BIOS information](yabause.md#bios)
Sega,Saturn,[YabaSanshiro](yabasanshiro.md),[BIOS information](yabasanshiro.md#bios)
Sharp,X68000,[PX68k](px68k.md),[BIOS information](px68k.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[bsnes&nbsp;Accuracy](bsnes_accuracy.md),[BIOS information](bsnes_accuracy.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[bsnes&nbsp;Balanced](bsnes_balanced.md),[BIOS information](bsnes_balanced.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[bsnes&nbsp;Performance](bsnes_performance.md),[BIOS information](bsnes_performance.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[bsnes‑mercury Accuracy](bsnes_mercury_accuracy.md),[BIOS information](bsnes_mercury_accuracy.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[bsnes‑mercury Balanced](bsnes_mercury_balanced.md),[BIOS information](bsnes_mercury_balanced.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[bsnes‑mercury Performance](bsnes_mercury_performance.md),[BIOS information](bsnes_mercury_performance.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[nSide Balanced](nside_balanced.md),[BIOS information](nside_balanced.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[higan Accuracy](higan_accuracy.md),[BIOS information](higan_accuracy.md#bios)
Nintendo,SNES&thinsp;/&thinsp;Super&nbsp;Famicom,[Mesen‑S](mesen-s.md),[BIOS information](mesen-s.md#bios)
Epoch,Super Cassette&nbsp;Vision,[EmuSCV](emuscv.md),[BIOS information](emuscv.md#bios)
Atari,ST&thinsp;/&thinsp;STE&thinsp;/&thinsp;TT&thinsp;/&thinsp;Falcon,[Hatari](hatari.md),[BIOS information](hatari.md#bios)
Texas&nbsp;Instruments,TI&#8209;83,[Numero](numero.md),[BIOS information](numero.md#bios)
Thomson,MO&thinsp;/&thinsp;TO,[Theodore](theodore.md),[BIOS information](theodore.md#bios)
GCE,Vectrex,[vecx](vecx.md),[BIOS information](vecx.md#bios)
―,Vircon32,[Vircon32](vircon32.md),[BIOS information](vircon32.md#bios)
Sinclair,ZX&nbsp;Spectrum,[Fuse](fuse.md),[BIOS information](fuse.md#bios)
