# SPDX-License-Identifier: MIT
#
# SPDX-FileCopyrightText: © 2024, Peter J. Mello <admin@petermello.net>
RetroPad Inputs,GameCube Controller,Wiimote,Wiimote (sideways),Wiimote + Nunchuk,Classic Controller,Classic Controller Pro
![L1 button][rpad-l1] { .middle },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:material-minus-circle: { class="huge middle" },ZL<br />button { .middle },:material-alpha-l-circle: { class="huge middle" }
![R1 button][rpad-r1] { .middle },:material-alpha-z-circle: { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:material-plus-circle: { class="huge middle" },ZR<br />button { .middle },:material-alpha-r-circle: { class="huge middle" }
![L2 trigger][rpad-l2] { .middle },:material-alpha-l-circle:{ .huge }<br />Trigger { .middle },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },Shake<br />Nunchuk { .middle },:material-alpha-l-circle: { class="huge middle" },ZL<br />button { .middle }
![R2 trigger][rpad-r2] { .middle },:material-alpha-r-circle:{ .huge }<br />Trigger { .middle },Shake { .middle },Shake { .middle },Shake<br />Wiimote { .middle },:material-alpha-r-circle: { class="huge middle" },ZR<br />button { .middle }
![L3 button][rpad-l3] :material-axis-z-arrow:&nbsp;Z-axis { class="middle short" },:material-alpha-l-circle:{ .huge }<br />Trigger<br />click { .middle },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" }
![R3 button][rpad-r3] :material-axis-z-arrow:&nbsp;Z-axis { class="middle short" },:material-alpha-r-circle:{ .huge }<br />Trigger<br />click { .middle },:material-home-circle: { class="huge middle" },:material-home-circle: { class="huge middle" },:material-home-circle: { class="huge middle" },:material-home-circle: { class="huge middle" },:material-home-circle: { class="huge middle" }
![Left analog stick][rpad-lstick] :material-axis-x-arrow:&nbsp;X-axis { class="middle short" },:material-circle-double:{ .huge }<br />Analog stick<br />X-axis { .middle },Tilt<br />X-axis { .middle },Tilt<br />X-axis { .middle },Nunchuk Stick<br />X-axis { .middle },Left Stick<br />X-axis { .middle },Left Stick<br />X-axis { .middle }
![Left analog stick][rpad-lstick] :material-axis-y-arrow:&nbsp;Y-axis { class="middle short" },:material-circle-double:{ .huge }<br />Analog stick<br />Y-axis { .middle },Tilt<br />Y-axis { .middle },Tilt<br />Y-axis { .middle },Nunchuk Stick<br />Y-axis { .middle },Left Stick<br />Y-axis { .middle },Left Stick<br />Y-axis { .middle }
![Right analog stick][rpad-rstick] :material-axis-x-arrow:&nbsp;X-axis { class="middle short" },:material-alpha-c-circle:{ .huge }<br />Stick<br />X-axis { .middle },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },Tilt<br />X-axis { .middle },Right Stick<br />X-axis { .middle },Right Stick<br />X-axis { .middle }
![Right analog stick][rpad-rstick] :material-axis-y-arrow:&nbsp;Y-axis { class="middle short" },:material-alpha-c-circle:{ .huge }<br />Stick<br />Y-axis { .middle },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },Tilt<br />Y-axis { .middle },Right Stick<br />Y-axis { .middle },Right Stick<br />Y-axis { .middle }
